Category,Issue,Full text,Short text
Online,Online,League of Legends steht euch zu Diensten!,League of Legends steht euch zu Diensten!
Online,Alle Probleme Gelöst,Alle Probleme wurden gelöst und League of Legends hat alle Kessel angefeuert. Danke für eure Geduld!,Alle Probleme wurden gelöst und League of Legends läuft korrekt. Danke für eure Geduld!
Probleme mit Statistiken,Allgemein,Einige von euch haben vielleicht Probleme bei der Anzeige ihrer League of Legends-Spielstatistiken. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten an der Lösung eines Problems, das Auswirkungen auf eure Spielstatistiken haben kann. "
Probleme mit Statistiken,Keine Spielstatistiken am Ende eines Spiels,"Einige von euch haben eventuell Probleme, ihre Spielstatistiken am Ende eines Spiels abzurufen. Falls ihr eine ungewöhnlich lange Verzögerung bemerkt, bevor ihr die Spielzusammenfassung erreicht, klickt auf „Wartezeit überspringen“ und „Nochmal spielen“. ","Wir arbeiten an der Lösung eines Problems, durch das ihr womöglich keine Spielstatistik erhaltet. Überspringt die Wartezeit, um Verzögerungen zu vermeiden."
Probleme mit Statistiken,Spielstatistik verloren,"Einige eurer Spielstatistiken werden eventuell falsch in eurem Beschwörerprofil angezeigt. Wir sind uns des Problems bewusst und arbeiten an dessen Lösung. Dies ist ein Anzeigefehler, weshalb er nicht dazu führen sollte, dass Spielstatistiken ganz verloren gehen.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen eure Spielstatistiken in eurem Profil womöglich nicht richtig angezeigt werden."
Probleme bei der Championauswahl,Kein Zugang zur Champion-Auswahl,"Manche von euch haben eventuell ein Problem, durch das sie nicht in die Championauswahl kommen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung. Ihr müsst keine Strafen befürchten, wenn ihr auf diese Weise die Championauswahl verpasst.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen ihr womöglich nicht in die Championauswahl kommt."
Probleme bei der Championauswahl,Champion kann nicht ausgewählt werden,"Manche von euch haben eventuell ein Problem, in der Championauswahl einen Champion auszuwählen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen ihr in der Champion-Auswahl womöglich keinen Champion wählen könnt."
Probleme bei der Championauswahl,Champion deaktiviert,"CHAMPION_NAME verursacht momentan Probleme im Spiel. Wir haben diesen Champion vorübergehend deaktiviert, während wir an der Lösung des Problems arbeiten. Wir entschuldigen uns bei den CHAMPION_NAME-Spielern für die Unannehmlichkeiten.","CHAMPION_NAME verursacht momentan Probleme im Spiel und wurde deaktiviert, während wir das Problem lösen."
Probleme bei der Championauswahl,Kostenloser Champion deaktiviert,"FREE_CHAMPION verursacht momentan Probleme im Spiel. Wir haben diesen Champion vorübergehend deaktiviert, während wir an der Lösung des Problems arbeiten. In der Zwischenzeit hat SUB_CHAMPION seinen Platz in der Rotation der kostenlos spielbaren Champions eingenommen.","FREE_CHAMPION verursacht momentan Probleme im Spiel und wurde in der Rotation durch SUB_CHAMPION ersetzt, solange wir an der Problemlösung arbeiten."
Einlogwarteschlange,Lange Wartezeiten,Manche von euch haben eventuell ein Problem mit langen Wartezeiten. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten daran, die langen Wartezeiten zu beheben."
Einlogwarteschlange,Server ausgelaset,"Unsere Server sind im Moment stark ausgelastet und manche von euch erhalten eventuell eine entsprechende Meldung, wenn sie versuchen, sich ins Spiel einzuloggen. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.","Unsere Server sind im Moment stark ausgelastet und es kann sein, dass ihr eine entsprechende Meldung erhaltet, wenn ihr versucht einzuloggen. "
Lag,Lag,Manche von euch stellen womöglich Lags im Spiel fest. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung.,"Wir arbeiten an der Lösung eines Problems, auf Grund dessen Lags im Spiel auftreten können."
Shop,Erworbene Dinge fehlen,"Manche von euch vermissen womöglich Dinge, die sie im Shop erworben haben. Wir sind uns des Problems bewusst und arbeiten so schnell es geht an dessen Lösung. Sobald wir das zu Grunde liegende Problem gelöst haben, wird alles, was fehlt, ersetzt.","Wir arbeiten an der Lösung eines Problems, auf Grund dessen womöglich Dinge, die ihr erworben habt, verschwinden. Alles wird ersetzt werden."
Shop,Shop-Wartung,Der League of Legends-Shop ist momentan wegen einer planmäßigen Wartung nicht verfügbar.,Der League of Legends-Shop ist momentan wegen einer planmäßigen Wartung nicht verfügbar.
Shop,Notfallwartung des Shops,Der League of Legends-Shop ist momentan wegen einer Wartung nicht verfügbar. Wir arbeiten an der Lösung einiger Probleme beim Kaufvorgang.,Der League of Legends-Shop ist momentan wegen einer Wartung nicht verfügbar. 
Shop,RP können nicht erworben werden,"Der Kauf von Riot Points wurde deaktiviert, während wir ein Problem mit dem League of Legends-Shop beheben. Ihr könnt weiterhin Dinge freischalten, indem ihr eure derzeit verfügbaren RP und EP nutzt. ","Der Kauf von Riot Points wurde vorübergehend deaktiviert, während wir ein Problem mit dem Shop beheben. "
Spielmodus oder Funktion deaktiviert,Solo/Duo-Ranglisten-Anmeldung deaktiviert,"Manche von euch haben eventuell ein Problem mit Solo/Duo-Ranglistenspielen. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir an der Lösung arbeiten. Normale und Team-Ranglistenspiele sind weiterhin verfügbar.","Wir haben Solo/Duo-Ranglistenspiele deaktiviert, während wir ein Problem mit der Anmeldung beheben. Normale und Team-Ranglistenspiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,Team-Ranglistenspiele deaktiviert,"Manche von euch haben eventuell ein Problem mit Team-Ranglistenspielen. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir an der Behebung des Problems arbeiten. Normale und Solo/Duo-Ranglistenspiele sind weiterhin verfügbar.","Wir haben Team-Ranglistenspiele deaktiviert, während wir ein Problem mit der Anmeldung beheben. Normale und Solo/Duo-Ranglistenspiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,3v3-Ranglistenspiele deaktiviert,"Manche von euch haben eventuell ein Problem mit 3v3-Ranglistenspielen. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Normale und 5v5-Ranglistenspiele sind weiterhin verfügbar.","Wir haben die 3v3-Ranglistenspiele deaktiviert, während wir ein Problem mit der Anmeldung beheben. Normale und 5v5-Ranglistenspiele sind weiterhin verfügbar."
Spielmodus oder Funktion deaktiviert,Ranglistenspiele deaktiviert,"Manche von euch haben eventuell ein Problem mit Ranglistenspielen. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Normale Spiele sind weiterhin verfügbar.","Wir haben Ranglistenspiele deaktiviert, während wir ein Problem mit der Anmeldung beheben. Normale Spiele sind weiterhin verfügbar."
Spielmodus oder Funktion deaktiviert,Abwechselnde Wahl deaktiviert,"Manche von euch haben eventuell ein Problem mit Spielen mit abwechselnder Wahl. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Normale Spiele mit freier Auswahl und freie Spiele sind weiterhin verfügbar.","Wir haben die abwechselnde Wahl deaktiviert, während wir ein Problem mit der Anmeldung beheben. Spiele mit freier Auswahl und freie Spiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,Freie Wahl deaktiviert,"Manche von euch haben eventuell ein Problem mit Spielen mit freier Auswahl. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Spiele mit abwechselnder Wahl und freie Spiele sind weiterhin verfügbar.","Wir haben die Freie Auswahl deaktiviert, während wir ein Problem mit der Anmeldung beheben. Abwechselnde Wahl und freie Spiele sind verfügbar."
Spielmodus oder Funktion deaktiviert,Dominion deaktiviert,"Manche von euch haben eventuell ein Problem mit Dominion. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Alle anderen Spielmodi sind weiterhin verfügbar. ","Wir haben Dominion deaktiviert, während wir ein Problem mit der Anmeldung beheben. Alle anderen Spielmodi sind verfügbar."
Spielmodus oder Funktion deaktiviert,Gewundener Wald deaktiviert,"Manche von euch haben eventuell ein Problem mit dem Gewundenen Wald. Wir sind uns des Problems bewusst und haben die Anmeldung vorübergehend deaktiviert, während wir daran arbeiten, das Problem zu beheben. Alle anderen Karten sind weiterhin verfügbar. ","Wir haben den Gewundenen Wald deaktiviert, während wir ein Problem mit der Anmeldung beheben. Alle anderen Karten sind verfügbar."
