Category,Issue,Full text,Short text
En ligne,En ligne,"League of Legends est en ligne, à vous de jouer !","League of Legends est en ligne, à vous de jouer !"
En ligne,Problèmes résolus,Tous les problèmes ont été résolus et League of Legends marche comme sur des roulettes. Merci de votre patience !,Tous les problèmes ont été résolus et League of Legends est en ligne. Merci de votre patience !
Problème de stats,Général,Certains d'entre vous rencontrent des problèmes liés à leurs statistiques dans League of Legends. Nous sommes au courant du problème et nous travaillons à y remédier au plus vite.,Nous travaillons à corriger un problème qui pourrait toucher vos stats. 
Problème de stats,Pas de stats en fin de partie,"Certains d'entre vous ont des difficultés à voir les statistiques de fin de partie. Si l'écran des statistiques se fait attendre trop longtemps, cliquez sur « Ne pas attendre les stats ». Les stats de votre partie apparaîtront quand même dans votre profil d'invocateur.",Nous travaillons à corriger un problème pouvant vous empêcher de voir les stats de fin de partie. Cliquez sur « Ne pas attendre les stats » pour continuer.
Problème de stats,Stats perdues,"Certaines de vos stats pourraient ne pas s'afficher correctement dans votre profil d'invocateur. Nous sommes au courant de ce problème et nous travaillons à le corriger. Il ne s'agit que d'un problème d'affichage, vos stats ne sont pas réellement perdues.",Nous travaillons à corriger un problème d'affichage des stats dans votre profil.
Problème de sélection des champions,Impossible d'accéder à la sélection des champions,Certains d'entre vous rencontrent des problèmes pour accéder à l'écran de sélection des champions. Nous sommes au courant du problème et nous travaillons à le résoudre au plus vite. Vous ne serez pas pénalisé pour n'avoir pas pu sélectionner un champion en raison de ce problème.,Nous travaillons à corriger un problème pouvant vous empêcher d'accéder à la sélection des champions.
Problème de sélection des champions,Impossible de sélectionner un champion,Certains d'entre vous rencontrent un problème pour sélectionner un champion sur l'écran de sélection des champions. Nous sommes au courant du problème et nous travaillons à le corriger au plus vite. ,Nous travaillons à corriger un problème pouvant vous empêcher de sélectionner un champion lors de la sélection des champions.
Problème de sélection des champions,Champion désactivé,CHAMPION_NAME provoque actuellement des problèmes dans le jeu. Nous avons temporairement désactivé ce champion pendant que nous corrigeons ces problèmes. Nous demandons aux joueurs de CHAMPION_NAME de bien vouloir nous en excuser.,CHAMPION_NAME provoque des problèmes dans le jeu et nous avons désactivé ce champion le temps de corriger ces problèmes.
Problème de sélection des champions,Champion gratuit désactivé,"FREE_CHAMPION provoque actuellement des problèmes dans le jeu. Nous avons temporairement désactivé ce champion pendant que nous corrigeons ces problèmes. En attendant son retour, SUB_CHAMPION remplace ce champion dans la rotation.",FREE_CHAMPION provoque des problèmes dans le jeu. SUB_CHAMPION remplace ce champion le temps de corriger ces problèmes.
File d'attente,Longues files d'attente,Certains d'entre vous sont confrontés à de longues files d'attente. Nous sommes au courant du problème et nous travaillons à le résoudre au plus vite.,Nous travaillons à régler le problème des longues files d'attente que vous pouvez rencontrer.
