Category,Issue,Full text,Short text
On-line,On-line,League of Legends jest gotowe do uruchomienia!,League of Legends jest gotowe do uruchomienia!
On-line,Rozwiązano wszystkie problemy,Rozwiązano wszystkie problemy – League of Legends gra i buczy! Dziękujemy za cierpliwość!,Rozwiązano wszystkie problemy – League of Legends gra i buczy! Dziękujemy za cierpliwość!
Problemy ze statystykami,Ogólne,Część z was może mieć problemy związane ze statystykami League of Legends. Wiemy o tym i staramy się rozwiązać tę kwestię.,Pracujemy nad rozwiązaniem problemu związanego ze statystykami. 
Problemy ze statystykami,Brak statystyk po zakończeniu gry,"Niektórzy z was mają problem z wyświetlaniem statystyk po skończonej grze. Jeśli ekran podsumowujący grę wyświetla się z dużym opóźnieniem, kliknij przycisk „Pomiń czekanie na statystyki...”. Nawet jeśli zestawienie się nie wyświetli, statystyki zostaną uwzględnione w twoim profilu.","Pracujemy nad rozwiązaniem problemu związanego z tym, że statystyki nie są zliczane. Pomiń wyświetlanie statystyk, żeby nie tracić czasu."
Problemy ze statystykami,Utracone statystyki,Część statystyk wyświetlanych w twoim profilu może być błędna. Wiemy o tym problemie i pracujemy nad jego rozwiązaniem. Problem dotyczy jedynie interfejsu – statystyki są zliczane prawidłowo i nie zostaną utracone.,Pracujemy nad rozwiązaniem problemu związanego z nieprawidłowym wyświetlaniem statystyk w profilu.
Problem z wyborem bohatera,Nie mogę przejść do ekranu wyboru bohatera,Niektórzy z was mają problem z przejściem do ekranu wyboru bohatera. Wiemy o tym i staramy się rozwiązać tę kwestię. Gracze nie otrzymują żadnych kar za niedokonanie wyboru bohatera.,"Pracujemy nad rozwiązaniem problemu, który uniemożliwia wybranie bohatera."
Problem z wyborem bohatera,Nie mogę wybrać bohatera,Część z was może mieć problem z interfejsem wyboru bohatera przed rozpoczęciem gry. Wiemy o tym i staramy się rozwiązać tę kwestię. ,"Pracujemy nad rozwiązaniem problemu, który uniemożliwia wybranie bohatera."
Problem z wyborem bohatera,Niedostępny bohater,"CHAMPION_NAME powoduje błędy w działaniu gry. Ten bohater będzie niedostępny, dopóki nie rozwiążemy problemu. Przepraszamy za niedogodności.","CHAMPION_NAME powoduje błędy w działaniu gry i będzie niedostępny do czasu, aż rozwiążemy problem."
Problem z wyborem bohatera,Niedostępny darmowy bohater,"FREE_CHAMPION powoduje błędy w działaniu gry. Ten bohater będzie niedostępny, dopóki nie rozwiążemy problemu. Jego miejsce w darmowej rotacji zajmie SUB_CHAMPION.","FREE_CHAMPION powoduje błędy w działaniu gry. Jego miejsce w darmowej rotacji zajmie SUB_CHAMPION, a my w tym czasie rozwiążemy problem."
Kolejka logowania,Długi czas oczekiwania w kolejkach,Część z was może mieć problem związany z długim czasem oczekiwania w kolejkach. Wiemy o tym i staramy się jak najszybciej rozwiązać tę kwestię.,Pracujemy nad rozwiązaniem problemu długiego oczekiwania w kolejkach.
Kolejka logowania,Zajęte serwery,Serwery są w tej chwili przeciążone. Niektórzy z was mogą mieć problemy z zalogowaniem się. Wiemy o tym i staramy się jak najszybciej rozwiązać tę kwestię.,Serwery są w tej chwili przeciążone. Niektórzy z was mogą mieć problemy z zalogowaniem się. 
Opóźnienia,Duża latencja (lag),Część z was może mieć problemy związane z lagiem. Wiemy o tym i staramy się rozwiązać tę kwestię.,Pracujemy nad rozwiązaniem problemu związanego z dużym lagiem podczas gry.
Sklep,Brakujące przedmioty z ekwipunku,"Niektórym z was mogą znikać przedmioty z ekwipunku. Wiemy o tym i staramy się jak najszybciej rozwiązać tę kwestię. Gdy tylko rozwiążemy problemy, wszystkie brakujące przedmioty zostaną przywrócone.","Pracujemy nad rozwiązaniem problemu, który powoduje, że przedmioty znikają z ekwipunku. Wszystkie utracone przedmioty zostaną przywrócone."
